company_id,orderID,totalSpend,date_completed_LocalTime,UserID
13,157413,270.1333333,2020-01-01 0:04:15,3594893331335162263
136,157415,63.6,2020-01-01 0:21:26,-2934988866621058378
57,157421,195.3333333,2020-01-01 1:17:32,-8330751189991331362
224,157422,221.6,2020-01-01 1:28:17,-3910321358892274141
136,157424,30.4,2020-01-01 2:55:47,-2934988866621058378
224,157427,18.66666667,2020-01-01 4:25:30,-3910321358892274141
136,157428,119.6,2020-01-01 5:45:08,4882427705991077041
13,157431,53.06666667,2020-01-01 6:30:34,-8362398072591549862
57,157433,34.66666667,2020-01-01 6:38:06,360034004966638768
40,157437,51.46666667,2020-01-01 7:11:53,4646204497152721841
142,157439,179.6,2020-01-01 7:17:10,-3066753476092683042
136,157440,26.66666667,2020-01-01 7:21:28,6620735539562718630
142,157447,66.53333333,2020-01-01 7:45:13,3695886185622651160
136,157450,14.8,2020-01-01 7:46:16,3704738716542189717
224,157459,251.7333333,2020-01-01 7:58:56,-8121244214472283662
142,157464,119.3333333,2020-01-01 8:02:33,-7023409107256149595
142,157467,245.3333333,2020-01-01 8:06:48,3428296653663885953
13,157469,81.06666667,2020-01-01 8:07:13,3594893331335162263
13,157471,493.7333333,2020-01-01 8:09:32,318330403684535569
13,157472,39.73333333,2020-01-01 8:10:26,3932275397224993444
13,157474,43.86666667,2020-01-01 8:12:30,6970142428049840963
13,157475,87.86666667,2020-01-01 8:14:38,6970142428049840963
136,157482,144.8,2020-01-01 8:24:42,-7032447768148862258
40,157485,170.1333333,2020-01-01 8:26:38,-3632007509396473992
57,157487,96.4,2020-01-01 8:27:04,-8559521762652605615
224,157488,7.466666667,2020-01-01 8:27:18,-3910321358892274141
13,157490,73.73333333,2020-01-01 8:33:24,5626685692626206297
13,157494,185.2,2020-01-01 8:35:22,7357188932616428569
142,157510,70.4,2020-01-01 8:49:21,-4197549994704481968
13,157521,239.7333333,2020-01-01 8:53:44,8405667087261881612
13,157528,38.13333333,2020-01-01 8:58:10,-356325063232375142
13,157536,6.12,2020-01-01 9:03:56,-8152678484369622265
142,157537,8.666666667,2020-01-01 9:04:21,6368277438792482035
13,157540,90.57333333,2020-01-01 9:05:28,8426138193582592263
142,157541,192.2533333,2020-01-01 9:05:46,6149527946067689558
136,157550,112.52,2020-01-01 9:10:53,6890634959159738125
40,157556,46.53333333,2020-01-01 9:12:26,-5104021284132086280
136,157566,148.6666667,2020-01-01 9:15:06,-103984398447181047
224,157582,202.2666667,2020-01-01 9:23:22,-1123046093984090775
142,157592,67.73333333,2020-01-01 9:27:27,2602705242235898761
13,157595,207.2,2020-01-01 9:28:30,7717593951612371047
40,157598,327.0666667,2020-01-01 9:29:56,-2073555891367005414
136,157600,239.8666667,2020-01-01 9:30:34,-4308544300205810564
136,157601,407.8666667,2020-01-01 9:30:36,-668707688989339718
136,157602,86,2020-01-01 9:30:54,-5913958124084171588
224,157603,87.46666667,2020-01-01 9:31:13,5872116411280801
40,157604,183.4666667,2020-01-01 9:31:18,915268718503866053
13,157613,120.6666667,2020-01-01 9:35:19,7077567443792403808
13,157615,149.7333333,2020-01-01 9:36:11,8136441879853314725
136,157619,39.86666667,2020-01-01 9:36:49,-2275066749798680389
40,157620,172.6666667,2020-01-01 9:38:09,-4528605908917736786
13,157623,269.4666667,2020-01-01 9:38:44,-2343779644298385008
13,157635,102.8,2020-01-01 9:42:47,8259977686654691845
136,157637,92.93333333,2020-01-01 9:43:00,3009059891908809686
40,157638,7.2,2020-01-01 9:43:12,-7384677451535939058
142,157639,153.4666667,2020-01-01 9:44:35,-2525070576225064350
142,157661,100.6666667,2020-01-01 9:50:22,-1117117217209707852
40,157668,186.1333333,2020-01-01 9:52:18,6819215655071462867
57,157672,54.26666667,2020-01-01 9:52:49,3403696147357359954
40,157683,124.8,2020-01-01 9:55:50,8134715981179688324
40,157692,59.6,2020-01-01 9:57:45,644692186602001759
224,157705,89.33333333,2020-01-01 10:00:13,4953487890271525576
142,157706,153.7333333,2020-01-01 10:00:53,-6657703122877471710
13,157710,265.2,2020-01-01 10:02:42,3062421434218217847
142,157719,24.26666667,2020-01-01 10:05:43,-3351632367620061353
224,157720,45.73333333,2020-01-01 10:05:43,-2041080843303279453
224,157722,225.6,2020-01-01 10:06:40,582760201519426208
136,157723,77.06666667,2020-01-01 10:07:04,7788955789640556968
40,157735,460.1333333,2020-01-01 10:12:38,3380048115707072901
136,157745,344.4,2020-01-01 10:14:43,-2360627490052060400
13,157748,210.6666667,2020-01-01 10:15:30,1819468265449661745
136,157750,149.6,2020-01-01 10:15:57,1356617924574460192
40,157754,66.53333333,2020-01-01 10:16:46,6032948832452691240
40,157756,10.4,2020-01-01 10:17:51,2335377609022761921
142,157757,2.666666667,2020-01-01 10:18:10,-8528942280886182626
136,157761,65.46666667,2020-01-01 10:18:37,3391951581845677118
40,157770,293.0666667,2020-01-01 10:21:43,-1299627455986501854
40,157773,34.66666667,2020-01-01 10:21:51,-8827219741579574416
136,157774,37.06666667,2020-01-01 10:22:14,-8905551749701355844
40,157781,204.6666667,2020-01-01 10:23:25,-3323041518427691681
40,157806,78.53333333,2020-01-01 10:27:04,6625063493093654317
40,157812,46.13333333,2020-01-01 10:28:26,4452533802102918993
224,157820,14.4,2020-01-01 10:30:49,5787409572962618740
224,157824,44.26666667,2020-01-01 10:31:56,244640337958052084
136,157829,50.66666667,2020-01-01 10:32:55,-8312760310589803557
40,157844,43.73333333,2020-01-01 10:38:18,-5741347104274347224
142,157848,290,2020-01-01 10:38:39,570107439805384950
57,157851,175.6,2020-01-01 10:40:01,-6152048853122333455
136,157855,77.46666667,2020-01-01 10:40:47,4420804021006452883
40,157860,80.93333333,2020-01-01 10:42:01,7132313406360888180
40,157861,25.73333333,2020-01-01 10:43:04,6722606005066226362
40,157867,34.26666667,2020-01-01 10:44:18,7486611145478154941
40,157896,70.53333333,2020-01-01 10:51:44,-4778131608955955840
40,157898,38.66666667,2020-01-01 10:52:02,5844672757594094611
40,157899,373.7333333,2020-01-01 10:52:05,1722049159959083545
136,157903,231.8666667,2020-01-01 10:53:07,-4802397082615413253
57,157911,118.2666667,2020-01-01 10:54:17,-4846820629636572996
136,157916,411.64,2020-01-01 10:54:22,3060465895037347149
136,157918,167.4533333,2020-01-01 10:54:42,8915853492702996515
40,157921,59.73333333,2020-01-01 10:55:02,322800709337886747
40,157931,195.7333333,2020-01-01 10:56:17,-3531243085226350753
40,157935,81.2,2020-01-01 10:57:10,-8423768254219601877
40,157949,102.8,2020-01-01 10:59:24,-6864502462874273208
136,157960,57.06666667,2020-01-01 11:00:54,6743100897844748053
13,157961,93.06666667,2020-01-01 11:03:46,-9109277863095743082
136,157964,38.53333333,2020-01-01 11:05:04,533410247708627095
57,158000,371.72,2020-01-01 12:20:37,-8529115709654229825
224,158013,18.8,2020-01-01 13:04:22,-8752182594677396289
40,158015,36.93333333,2020-01-01 13:14:59,-8119998406442048152
136,158016,77.6,2020-01-01 13:15:55,4451377113456152808
40,158022,8,2020-01-01 13:27:19,5660574283430674106
142,158030,160,2020-01-01 13:44:20,-3313453405247572826
142,158035,152.9333333,2020-01-01 13:50:56,3933870500274643904
40,158051,40,2020-01-01 14:36:57,8640351824571031386
136,158058,206.2666667,2020-01-01 14:49:00,-7621510169707888705
136,158066,26.4,2020-01-01 15:14:23,5091862326745505210
